date,count,package
2022-01-01,23652,dplyr
2022-01-02,26125,dplyr
2022-01-03,41727,dplyr
2022-01-04,48750,dplyr
2022-01-05,50684,dplyr
2022-01-06,50766,dplyr
2022-01-07,47948,dplyr
2022-01-08,28390,dplyr
2022-01-09,28199,dplyr
2022-01-10,51360,dplyr
2022-01-11,56457,dplyr
2022-01-12,55606,dplyr
2022-01-13,55223,dplyr
2022-01-14,50035,dplyr
2022-01-15,28902,dplyr
2022-01-16,28955,dplyr
2022-01-17,46963,dplyr
2022-01-18,55283,dplyr
2022-01-19,59652,dplyr
2022-01-20,58912,dplyr
2022-01-21,52218,dplyr
2022-01-22,30456,dplyr
2022-01-23,30801,dplyr
2022-01-24,57343,dplyr
2022-01-25,59310,dplyr
2022-01-26,56801,dplyr
2022-01-27,61398,dplyr
2022-01-28,51619,dplyr
2022-01-29,29085,dplyr
2022-01-30,33912,dplyr
2022-01-31,54853,dplyr
2022-02-01,59905,dplyr
2022-02-02,59654,dplyr
2022-02-03,61859,dplyr
2022-02-04,56785,dplyr
2022-02-05,31027,dplyr
2022-02-06,30369,dplyr
2022-02-07,60532,dplyr
2022-02-08,74921,dplyr
2022-02-09,82339,dplyr
2022-02-10,74137,dplyr
2022-02-11,60867,dplyr
2022-02-12,33203,dplyr
2022-02-13,33280,dplyr
2022-02-14,64940,dplyr
2022-02-15,68315,dplyr
2022-02-16,67716,dplyr
2022-02-17,68405,dplyr
2022-02-18,58480,dplyr
2022-02-19,32175,dplyr
2022-02-20,35383,dplyr
2022-02-21,66421,dplyr
2022-02-22,67438,dplyr
2022-02-23,66841,dplyr
2022-02-24,60820,dplyr
2022-02-25,56511,dplyr
2022-02-26,31128,dplyr
2022-02-27,32175,dplyr
2022-02-28,57236,dplyr
2022-03-01,62965,dplyr
2022-03-02,66302,dplyr
2022-03-03,65334,dplyr
2022-03-04,57897,dplyr
2022-03-05,32999,dplyr
2022-03-06,33023,dplyr
2022-03-07,61252,dplyr
2022-03-08,62979,dplyr
2022-03-09,63734,dplyr
2022-03-10,64114,dplyr
2022-03-11,57228,dplyr
2022-03-12,32116,dplyr
2022-03-13,NA,dplyr
2022-03-14,63892,dplyr
2022-03-15,66368,dplyr
2022-03-16,67525,dplyr
2022-03-17,65745,dplyr
2022-03-18,57959,dplyr
2022-03-19,34546,dplyr
2022-03-20,37283,dplyr
2022-03-21,67473,dplyr
2022-03-22,67722,dplyr
